arizona-diamondbacks,reno-aces,amarillo-sod-poodles,hillsboro-hops,visalia-rawhide,acl-diamondbacks
atlanta-braves,gwinnett-stripers,mississippi-braves,rome-braves,augusta-greenjackets,acl-braves
baltimore-orioles,norfolk-tides,bowie-baysox,frederick-keys,delmarva-shorebirds,acl-orioles
boston-red-sox,worcester-red-sox,portland-sea-dogs,greenville-drive,salem-red-sox,acl-red-sox
chicago-cubs,iowa-cubs,tennessee-smokies,south-bend-cubs,myrtle-beach-pelicans,acl-cubs
chicago-white-sox,Charlotte Knights,birmingham-barons,winston-salem-dash, kannapolis-cannon-ballers,acl-white-sox
cincinnati-reds,louisville-bats,chattanooga-lookouts,dayton-dragons,dayton-dragons,acl-reds
cleveland-guardians,columbus-clippers,akron-rubberducks,lake-county-captains,lynchburg-hillcats,acl-guardians
colorado-rockies,albuquerque-isotopes,hartford-yard-goats,spokane-indians,fresno-grizzlies,acl-rockies
detroit-tigers,toledo-mud-hens,erie-sea-wolves,west-michigan-whitecaps,lakeland-flying-tigers,acl-tigers
houston-astros,sugar-land-space-cowboys,corpus-christi-hooks,asheville-tourists,fayetteville-woodpeckers,acl-astros
kansas-city-royals,omaha-storm-chasers,northwest-arkansas-naturals,quad-cities-river-bandits,columbia-fireflies,acl-royals
los-angeles-angels,salt-lake-bees,rocket-city-trash-pandas,tri-city-dust-devils,inland-empire-66ers,acl-angels
los-angeles-dodgers,oklahoma-city-comets,tulsa-drillers,great-lakes-loons,rancho-cucamonga-quakes,acl-dodgers
miami-marlins,jacksonville-jumbo-shrimp,pensacola-blue-wahoos,beloit-snappers,jupiter-hammerheads,acl-marlins
milwaukee-brewers,nashville-sounds,biloxi-shuckers,wisconsin-timber-rattlers,carolina-mudcats,acl-brewers
minnesota-twins,st.-paul-saints,wichita-wind-surge,cedar-rapids-kernels,fort-myers-mighty-mussels,acl-twins
new-york-mets,syracuse-mets,binghamton-rumble-ponies,brooklyn-cyclones,st.-lucie-mets,acl-mets
new-york-yankees,scranton/wilkes-barre-railriders,somerset-patriots,hudson-valley-renegades,tampa-tarpons,acl-yankees
the-athletics,las-vegas-aviators,midland-rockhounds,lansing-lugnuts,stockton-ports,acl-athletics
philadelphia-phillies,lehigh-valley-ironpigs,reading-fightin-phils,jersey-shore-blueclaws,clearwater-threshers,acl-phillies
pittsburgh-pirates,indianapolis-indians,altoona-curve,greensboro-grasshoppers,bradenton-marauders,acl-pirates
san-diego-padres,el-paso-chihuahuas,san-antonio-missions,fort-wayne-tincaps,lake-elsinore-storm,acl-padres
san-francisco-giants,sacramento-river-cats,richmond-flying-squirrels,eugene-emeralds,san-jose-giants,acl-giants
seattle-mariners,tacoma-rainiers,arkansas-travelers,everett-aquasox,modesto-nuts,acl-mariners
st.-louis-cardinals,memphis-redbirds,springfield-cardinals,peoria-chiefs,palm-beach-cardinals,acl-cardinals
tampa-bay-rays,durham-bulls,montgomery-biscuits,bowling-green-hot-rods,charleston-riverdogs,acl-rays
texas-rangers,round-rock-express,frisco-roughriders,hickory-crawdads,down-east-wood-ducks,acl-rangers
toronto-blue-jays,buffalo-bisons,new-hampshire-fisher-cats,vancouver-canadians,dunedin-blue-jays,acl-blue-jays
washington-nationals,rochester-red-wings,harrisburg-senators,wilmington-blue-rocks,fredericksburg-nationals,acl-nationals
