Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,1B,TB,AVG,OBP,SLG,PerformanceMetric,UsageMetric,CombinedMetric
Nolan Arenado,R,34,3B,580,527,61,139,28,1,18,77,42,85,2,2,92,223,0.2637571157495256,0.3120689655172414,0.42314990512333966,92.10869743822862,72.2398260494378,82.17
Masyn Winn,R,23,SS,639,584,87,148,29,5,14,71,44,116,13,4,100,229,0.2534246575342466,0.3004694835680751,0.3921232876712329,85.1399471410288,100.0,92.57
Willson Contreras,R,33,C,422,362,50,86,19,0,16,52,44,107,4,2,51,153,0.23756906077348067,0.3080568720379147,0.42265193370165743,78.55294248272693,88.73508391500823,83.64
Brendan Donovan,L,28,LF,584,514,69,144,26,2,12,63,53,76,4,4,104,210,0.2801556420233463,0.3373287671232877,0.4085603112840467,100.0,74.8447934499806,87.42
Lars Nootbaar,L,27,RF,475,405,63,99,22,3,16,55,63,97,7,2,58,175,0.24444444444444444,0.3410526315789474,0.43209876543209874,96.85161482807409,59.432710791011814,78.14
Alec Burleson,L,26,LF,545,501,63,139,23,2,17,73,34,74,6,2,97,217,0.2774451097804391,0.3174311926605505,0.43313373253493015,98.6023906137777,69.33037855365231,83.97
Nolan Gorman,L,25,2B,511,461,67,106,19,0,27,75,46,170,6,1,60,206,0.2299349240780911,0.2974559686888454,0.44685466377440347,81.35580234439887,74.23186691568095,77.79
Iván Herrera,R,25,C,386,335,47,84,16,2,8,42,43,84,5,1,58,128,0.2507462686567164,0.3290155440414508,0.382089552238806,79.14363467475478,83.64485477993597,81.39
Jimmy Crooks,L,23,C,409,367,42,90,18,2,7,46,32,100,2,0,63,133,0.2452316076294278,0.2982885085574572,0.36239782016348776,62.410047103980936,88.9363320017669,75.67
Thomas Saggese,R,23,SS,585,541,70,132,24,4,15,73,28,151,7,3,89,209,0.24399260628465805,0.27350427350427353,0.38632162661737524,65.16179641217039,92.36465629739162,78.76
César Prieto,L,26,3B,524,496,55,128,25,2,8,59,18,70,4,5,93,181,0.25806451612903225,0.2786259541984733,0.3649193548387097,66.40729357158513,66.36107822486017,66.38
