Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Nolan Arenado,R,34,3B,580,527,61,139,28,1,18,77,42,85,2,2
Masyn Winn,R,23,SS,639,584,87,148,29,5,14,71,44,116,13,4
Willson Contreras,R,33,C,422,362,50,86,19,0,16,52,44,107,4,2
Brendan Donovan,L,28,LF,584,514,69,144,26,2,12,63,53,76,4,4
Lars Nootbaar,L,27,RF,475,405,63,99,22,3,16,55,63,97,7,2
Alec Burleson,L,26,LF,545,501,63,139,23,2,17,73,34,74,6,2
Nolan Gorman,L,25,2B,511,461,67,106,19,0,27,75,46,170,6,1
Iván Herrera,R,25,C,386,335,47,84,16,2,8,42,43,84,5,1
Jimmy Crooks,L,23,C,409,367,42,90,18,2,7,46,32,100,2,0
Thomas Saggese,R,23,SS,585,541,70,132,24,4,15,73,28,151,7,3
César Prieto,L,26,3B,524,496,55,128,25,2,8,59,18,70,4,5
Leonardo Bernal,B,21,C,432,395,42,90,16,2,7,41,33,106,3,4
Bryan Torres,L,27,CF,507,450,62,123,22,2,1,44,43,89,18,8
Brandon Crawford,L,38,SS,316,281,34,64,13,1,8,34,28,78,2,1
Pedro Pagés,R,26,C,355,322,30,71,12,1,8,40,26,93,2,0
Matt Koperniak,L,27,LF,500,459,50,116,18,2,11,58,33,102,5,4
Victor Scott II,L,24,CF,532,480,58,107,15,5,7,47,33,106,32,6
Mike Antico,L,27,CF,511,468,60,106,19,3,10,54,32,129,23,4
Sammy Hernandez,R,21,C,371,330,41,64,12,2,5,39,25,84,1,1
Ryan Vilade,R,26,RF,489,443,52,105,18,3,8,51,36,119,11,5
Arquímedes Gamboa,B,27,SS,374,333,39,69,12,2,5,31,38,106,5,2
Jordan Walker,R,23,RF,589,536,57,131,27,3,19,71,42,136,6,3
Jose Barrero,R,27,SS,375,342,40,71,14,2,10,44,21,128,11,2
José Fermín,R,26,SS,321,279,40,64,11,1,5,34,29,39,9,3
Gavin Collins,R,29,C,212,191,19,41,7,0,5,24,13,44,0,0
Michael Siani,L,25,CF,459,409,52,86,12,3,5,36,38,115,21,6
Luken Baker,R,28,1B,480,425,46,90,17,0,21,66,47,132,1,0
Chance Sisco,L,30,C,129,116,12,20,5,0,3,14,9,45,0,0
Carlos Linarez,R,23,C,133,125,7,23,4,0,1,9,6,45,1,0
Matt Carpenter,L,39,DH,192,162,18,32,9,0,6,21,24,59,0,1
Chase Davis,L,23,CF,464,419,44,86,19,1,8,46,37,137,4,1
Alfonso Rivas III,L,28,1B,383,332,41,76,17,2,4,39,39,103,3,0
Chase Adkison,R,25,C,230,207,18,45,8,1,2,22,15,53,0,1
Chris Rotondo,R,26,RF,404,362,45,78,15,2,5,40,27,138,8,3
Jacob Buchberger,R,27,3B,426,392,46,85,12,3,6,38,30,114,7,4
Ramon Mendoza,R,24,2B,278,245,25,50,10,1,3,23,21,72,1,1
Dakota Harris,R,23,2B,363,333,38,77,16,0,6,40,13,89,4,3
Graysen Tarlow,R,23,C,89,79,5,14,2,0,1,6,8,24,0,0
Nathan Church,L,24,RF,522,478,60,112,18,1,4,47,29,70,13,4
Joshua Baez,R,22,RF,348,314,36,61,14,1,8,38,24,147,15,3
Noah Mendlinger,L,24,2B,422,374,41,89,15,1,1,39,29,62,3,4
Jeremy Rivas,R,22,SS,479,431,47,93,11,1,2,35,33,109,14,6
R.J. Yeager,R,26,1B,473,436,55,102,17,1,10,52,25,76,6,2
Matt Lloyd,L,29,DH,437,392,46,87,18,0,10,48,34,110,7,2
Brody Moore,R,24,SS,408,376,41,82,13,2,2,30,23,101,13,6
Anyelo Encarnacion,R,21,2B,343,307,38,59,11,1,5,28,28,122,5,3
Wade Stauss,L,26,C,129,109,8,18,4,0,1,12,11,59,0,0
Trey Paige,L,24,3B,395,356,41,68,14,3,1,29,30,119,3,1
Michael Curialle,R,24,3B,351,315,37,65,15,2,4,35,21,117,3,2
Zach Levenson,R,23,LF,309,277,28,51,11,1,6,31,25,84,4,2
Tre Richardson,R,23,2B,347,307,28,57,10,4,1,26,25,105,8,5
Miguel Villarroel,R,23,SS,428,405,44,92,16,2,2,36,13,110,16,3
Kade Kretzschmar,L,25,LF,348,311,33,67,9,3,1,30,26,84,3,2
Darlin Moquete,R,25,DH,312,286,40,58,8,1,8,32,17,87,7,3
Johnfrank Salazar,R,21,1B,338,311,29,68,13,0,3,30,18,59,0,1
Chandler Redmond,L,28,1B,425,385,39,77,13,1,10,43,35,161,2,1
Won-Bin Cho,L,21,CF,457,411,45,85,13,3,3,37,31,153,10,7
William Sullivan,L,24,1B,169,154,13,26,4,0,2,16,11,64,1,1
Alex Iadisernia,L,24,LF,439,399,43,79,17,3,6,40,29,120,11,6
Miguel Ugueto,R,22,LF,251,239,22,49,10,2,2,20,7,60,5,3
Osvaldo Tovalin,L,25,1B,394,370,35,76,13,1,4,38,12,82,4,2
Brayden Jobert,L,24,RF,370,328,33,55,9,1,6,36,28,125,7,3
